latitude; longitude; gravity; height; topo
-12.00000;274.00000;978251.99825;0.00000;-4147.95205
-12.20000;274.00000;978258.19296;0.00000;-4177.43803
-12.40000;274.00000;978268.48517;0.00000;-4245.66834
-12.60000;274.00000;978271.13102;0.00000;-4462.76934
-12.80000;274.00000;978282.17354;0.00000;-4346.43959
-13.00000;274.00000;978298.48281;0.00000;-4170.81768
-13.20000;274.00000;978290.50380;0.00000;-4221.26446
-13.40000;274.00000;978292.11954;0.00000;-4514.42807
-13.60000;274.00000;978307.74754;0.00000;-4332.55083
-13.80000;274.00000;978318.53517;0.00000;-4499.87789
-14.00000;274.00000;978320.83368;0.00000;-4645.75522
-14.20000;274.00000;978327.56256;0.00000;-4759.05569
-14.40000;274.00000;978336.76091;0.00000;-4642.87168
-14.60000;274.00000;978344.87415;0.00000;-4726.97543
-14.80000;274.00000;978354.09277;0.00000;-4681.92766
-15.00000;274.00000;978363.95225;0.00000;-4770.70599
-15.20000;274.00000;978375.42309;0.00000;-4664.13242
-15.40000;274.00000;978387.43484;0.00000;-4567.08713
-15.60000;274.00000;978397.77969;0.00000;-4713.16546
-15.80000;274.00000;978405.05592;0.00000;-4655.90818
-16.00000;274.00000;978414.77434;0.00000;-4568.81779
-16.20000;274.00000;978425.78858;0.00000;-4541.91283
-16.40000;274.00000;978437.19223;0.00000;-4517.59816
-16.60000;274.00000;978444.17780;0.00000;-4487.91055
-16.80000;274.00000;978455.47085;0.00000;-4506.42937
-17.00000;274.00000;978467.57068;0.00000;-4414.66682
-17.20000;274.00000;978479.80145;0.00000;-4466.41323
-17.40000;274.00000;978492.90340;0.00000;-4161.15883
-17.60000;274.00000;978502.70647;0.00000;-4527.95091
-17.80000;274.00000;978510.85487;0.00000;-4429.08269
-18.00000;274.00000;978517.43842;0.00000;-4452.14560
-18.20000;274.00000;978527.17010;0.00000;-4456.11449
-18.40000;274.00000;978539.56876;0.00000;-4392.31037
-18.60000;274.00000;978554.23589;0.00000;-4416.34241
-18.80000;274.00000;978569.72226;0.00000;-4305.51980
-19.00000;274.00000;978582.53018;0.00000;-4314.10526
-19.20000;274.00000;978592.80281;0.00000;-4362.22663
-19.40000;274.00000;978600.86440;0.00000;-4403.52675
-19.60000;274.00000;978613.31232;0.00000;-4389.67858
-19.80000;274.00000;978622.54181;0.00000;-4359.62221
-20.00000;274.00000;978634.04958;0.00000;-4374.42103
-20.20000;274.00000;978645.49692;0.00000;-4379.52103
-20.40000;274.00000;978657.66892;0.00000;-4389.17952
-20.60000;274.00000;978663.78992;0.00000;-4563.85406
-20.80000;274.00000;978681.60892;0.00000;-4343.64771
-21.00000;274.00000;978691.36139;0.00000;-4304.06345
-21.20000;274.00000;978704.47621;0.00000;-4254.89351
-21.40000;274.00000;978721.41398;0.00000;-4164.79569
-21.60000;274.00000;978733.05977;0.00000;-4136.44459
-21.80000;274.00000;978753.45728;0.00000;-3789.46647
-22.00000;274.00000;978757.69957;0.00000;-4078.73750
-22.20000;274.00000;978766.06127;0.00000;-4050.46826
-22.40000;274.00000;978794.49541;0.00000;-3610.25237
-22.60000;274.00000;978795.37998;0.00000;-4029.57598
-22.80000;274.00000;978806.75402;0.00000;-4278.88871
-23.00000;274.00000;978827.26313;0.00000;-3999.01888
-23.20000;274.00000;978845.00349;0.00000;-3789.09018
-23.40000;274.00000;978845.63571;0.00000;-3989.90395
-23.60000;274.00000;978861.75205;0.00000;-3832.67592
-23.80000;274.00000;978906.39776;0.00000;-2449.15900
-24.00000;274.00000;978889.65478;0.00000;-3909.47197
-24.20000;274.00000;978896.31921;0.00000;-3516.46695
-24.40000;274.00000;978910.48853;0.00000;-3714.15020
-24.60000;274.00000;978928.88986;0.00000;-3554.52037
-24.80000;274.00000;978952.89838;0.00000;-3346.99813
-25.00000;274.00000;978951.31947;0.00000;-3546.63184
-25.20000;274.00000;978963.59571;0.00000;-3773.33144
-25.40000;274.00000;978962.25806;0.00000;-3855.14986
-25.60000;274.00000;978995.62705;0.00000;-3071.04120
-25.80000;274.00000;979016.28326;0.00000;-2968.15273
-26.00000;274.00000;979088.24384;0.00000;-598.85863
-26.20000;274.00000;979036.66832;0.00000;-3626.33055
-26.40000;274.00000;979042.06312;0.00000;-3587.98386
-26.60000;274.00000;979070.15512;0.00000;-3757.39919
-26.80000;274.00000;979092.47840;0.00000;-3751.67741
-27.00000;274.00000;979098.43672;0.00000;-4044.48034
-27.20000;274.00000;979111.94984;0.00000;-4091.44516
-27.40000;274.00000;979130.27755;0.00000;-3898.72117
-27.60000;274.00000;979141.35448;0.00000;-3906.05964
-27.80000;274.00000;979159.09996;0.00000;-3901.07219
-28.00000;274.00000;979172.77915;0.00000;-3874.63987
-28.20000;274.00000;979189.10616;0.00000;-3862.02562
-28.40000;274.00000;979202.91420;0.00000;-3792.45001
-28.60000;274.00000;979211.51255;0.00000;-3995.20976
-28.80000;274.00000;979224.93845;0.00000;-3990.94050
