latitude; longitude; gravity; height; topo
28.00000;195.00000;979186.66342;0.00000;-4978.97815
27.90000;195.00000;979172.09481;0.00000;-5108.31279
27.80000;195.00000;979158.50198;0.00000;-5197.42746
27.70000;195.00000;979159.47925;0.00000;-4700.59836
27.60000;195.00000;979149.70382;0.00000;-5099.52771
27.50000;195.00000;979145.53228;0.00000;-4779.33460
27.40000;195.00000;979151.97911;0.00000;-4769.03574
27.30000;195.00000;979137.36038;0.00000;-4801.88222
27.20000;195.00000;979127.97847;0.00000;-4749.41119
27.10000;195.00000;979121.10723;0.00000;-4742.89181
27.00000;195.00000;979115.25718;0.00000;-4794.75795
26.90000;195.00000;979114.77201;0.00000;-4581.42917
26.80000;195.00000;979112.47981;0.00000;-4555.01211
26.70000;195.00000;979103.99116;0.00000;-4594.25373
26.60000;195.00000;979097.03195;0.00000;-4570.51923
26.50000;195.00000;979082.71994;0.00000;-4702.01394
26.40000;195.00000;979071.76775;0.00000;-4682.23818
26.30000;195.00000;979065.63303;0.00000;-4684.85654
26.20000;195.00000;979057.04750;0.00000;-4678.06667
26.10000;195.00000;979050.80683;0.00000;-4675.65437
26.00000;195.00000;979048.21758;0.00000;-4535.62619
25.90000;195.00000;979040.01369;0.00000;-4569.33933
25.80000;195.00000;979022.31899;0.00000;-4781.17874
25.70000;195.00000;979011.11940;0.00000;-4785.52405
25.60000;195.00000;979002.10673;0.00000;-4845.32654
25.50000;195.00000;978992.99489;0.00000;-4848.73669
25.40000;195.00000;978986.58081;0.00000;-4843.66319
25.30000;195.00000;978973.72789;0.00000;-4905.18306
25.20000;195.00000;978961.72274;0.00000;-4913.91151
25.10000;195.00000;978952.31080;0.00000;-4823.86461
25.00000;195.00000;978941.88265;0.00000;-4970.12638
24.90000;195.00000;978927.57353;0.00000;-5028.49093
24.80000;195.00000;978920.43621;0.00000;-5009.63500
24.70000;195.00000;978905.62457;0.00000;-4994.89632
24.60000;195.00000;978899.83984;0.00000;-4948.44789
24.50000;195.00000;978887.57261;0.00000;-4923.32416
24.40000;195.00000;978875.78199;0.00000;-4873.92117
24.30000;195.00000;978873.27547;0.00000;-4619.88761
24.20000;195.00000;978872.88375;0.00000;-4554.35001
24.10000;195.00000;978869.80757;0.00000;-4529.57114
24.00000;195.00000;978876.79056;0.00000;-4265.18077
23.90000;195.00000;978882.54246;0.00000;-4050.49785
23.80000;195.00000;978910.70477;0.00000;-3002.87597
23.70000;195.00000;978964.19200;0.00000;-2107.48762
23.60000;195.00000;979007.37689;0.00000;-1519.93071
23.50000;195.00000;978929.16557;0.00000;-2773.67854
23.40000;195.00000;978871.22897;0.00000;-3425.00052
23.30000;195.00000;978854.12444;0.00000;-3622.99617
23.20000;195.00000;978831.17436;0.00000;-4092.18113
23.10000;195.00000;978807.53333;0.00000;-4288.58802
23.00000;195.00000;978799.72865;0.00000;-4429.66835
22.90000;195.00000;978787.38960;0.00000;-4599.77920
