latitude; longitude; gravity; height; topo
75,00000;250,00000;982810,94957;144,00000;143,11037
74,80000;250,00000;982825,67792;0,00000;-44,98887
74,60000;250,00000;982809,73310;0,00000;-233,36913
74,40000;250,00000;982796,50663;0,00000;-404,71983
74,20000;250,00000;982799,45617;0,00000;-512,92006
74,00000;250,00000;982794,92692;0,00000;-416,70526
73,80000;250,00000;982802,69266;0,00000;-115,44676
73,60000;250,00000;982780,17718;0,00000;-119,30879
73,40000;250,00000;982749,57672;0,00000;-169,01007
73,20000;250,00000;982723,14861;0,00000;-261,36505
73,00000;250,00000;982728,42028;0,00000;-68,08421
72,80000;250,00000;982676,52637;191,00000;179,56446
72,60000;250,00000;982706,70716;0,00000;24,21884
72,40000;250,00000;982673,18788;84,00000;81,90502
72,20000;250,00000;982626,65762;304,00000;337,19689
72,00000;250,00000;982592,64049;417,00000;421,04678
71,80000;250,00000;982587,71070;381,00000;360,64766
71,60000;250,00000;982585,50114;299,00000;290,27010
71,40000;250,00000;982592,95030;206,00000;200,53546
71,20000;250,00000;982581,36452;204,00000;206,19020
71,00000;250,00000;982547,86120;222,00000;227,19595
70,80000;250,00000;982528,47053;254,00000;233,37613
70,60000;250,00000;982530,85110;231,00000;229,04562
70,40000;250,00000;982540,69033;152,00000;148,54114
70,20000;250,00000;982539,71411;114,00000;121,74424
70,00000;250,00000;982543,49796;107,00000;108,82616
69,80000;250,00000;982526,57089;118,00000;129,39861
69,60000;250,00000;982509,33535;126,00000;128,91656
69,40000;250,00000;982495,43048;152,00000;146,79414
69,20000;250,00000;982496,58264;150,00000;146,72333
69,00000;250,00000;982499,41165;109,00000;113,73256
68,80000;250,00000;982480,64594;131,00000;127,22505
68,60000;250,00000;982482,66486;0,00000;-24,96263
68,40000;250,00000;982445,04455;0,00000;-225,30167
68,20000;250,00000;982429,14832;0,00000;-207,51105
68,00000;250,00000;982416,98060;0,00000;-39,89614
67,80000;250,00000;982361,28423;182,00000;124,16761
67,60000;250,00000;982357,32121;181,00000;198,60452
67,40000;250,00000;982315,47260;332,00000;343,97405
67,20000;250,00000;982309,05120;366,00000;340,09760
67,00000;250,00000;982281,63525;428,00000;393,90812
66,80000;250,00000;982285,43745;358,00000;350,49192
66,60000;250,00000;982275,82585;398,00000;398,20360
66,40000;250,00000;982240,85607;444,00000;430,60961
66,20000;250,00000;982212,66495;511,00000;516,22222
66,00000;250,00000;982182,20591;574,00000;568,70394
65,80000;250,00000;982180,60755;551,00000;560,99799
65,60000;250,00000;982178,27492;506,00000;500,62271
65,40000;250,00000;982166,75838;489,00000;482,91082
65,20000;250,00000;982161,18175;456,00000;453,81350
65,00000;250,00000;982133,89158;481,00000;484,92175
64,80000;250,00000;982109,07817;476,00000;476,43208
64,60000;250,00000;982100,08193;465,00000;465,48903
