latitude; longitude; gravity; height; topo
45.00000;126.00000;980568.40450;197.00000;204.14374
44.80000;126.00000;980560.24962;161.00000;167.07713
44.60000;126.00000;980552.55202;160.00000;167.42030
44.40000;126.00000;980534.12061;178.00000;184.96834
44.20000;126.00000;980500.82362;238.00000;230.70223
44.00000;126.00000;980479.80858;253.00000;275.51736
43.80000;126.00000;980456.86642;216.00000;192.66530
43.60000;126.00000;980409.42803;337.00000;316.35222
43.40000;126.00000;980417.17542;257.00000;257.25018
43.20000;126.00000;980394.90410;274.00000;309.43106
43.00000;126.00000;980354.44241;338.00000;333.22001
42.80000;126.00000;980339.80500;310.00000;315.42283
42.60000;126.00000;980322.15569;307.00000;300.03892
42.40000;126.00000;980261.54639;489.00000;462.44713
42.20000;126.00000;980265.46021;380.00000;385.90855
42.00000;126.00000;980224.15971;535.00000;618.42044
41.80000;126.00000;980207.30183;509.00000;519.18143
41.60000;126.00000;980199.72958;518.00000;665.63104
41.40000;126.00000;980105.57540;702.00000;650.63929
41.20000;126.00000;980101.90153;743.00000;885.07729
41.00000;126.00000;980124.75809;442.00000;392.66122
40.80000;126.00000;980132.97562;408.00000;543.87780
40.60000;126.00000;980082.32923;574.00000;746.74982
40.40000;126.00000;980089.14582;462.00000;644.62695
40.20000;126.00000;979978.33928;741.00000;479.91916
40.00000;126.00000;980096.92408;246.00000;217.01923
39.80000;126.00000;980083.37509;300.00000;248.46087
39.60000;126.00000;980019.26540;444.00000;245.66900
39.40000;126.00000;980110.40831;55.00000;56.59215
39.20000;126.00000;980099.26187;51.00000;62.17870
39.00000;126.00000;980059.60138;117.00000;59.89253
38.80000;126.00000;980011.01737;234.00000;153.14898
38.60000;126.00000;980043.15963;104.00000;200.94184
38.40000;126.00000;980022.89710;76.00000;134.65286
38.20000;126.00000;979975.89987;227.00000;316.65556
38.00000;126.00000;979981.77229;45.00000;40.47878
37.80000;126.00000;979975.48674;0.00000;12.98470
37.60000;126.00000;979958.36540;0.00000;0.55751
37.40000;126.00000;979928.08091;0.00000;0.87798
37.20000;126.00000;979929.46652;0.00000;-5.93395
37.00000;126.00000;979917.54170;0.00000;-20.03870
36.80000;126.00000;979891.85984;0.00000;-35.02894
36.60000;126.00000;979867.44053;0.00000;-8.39542
36.40000;126.00000;979870.36063;0.00000;-10.68012
36.20000;126.00000;979844.43331;0.00000;-1.21250
36.00000;126.00000;979842.30338;0.00000;-26.05566
35.80000;126.00000;979826.38098;0.00000;-18.17938
35.60000;126.00000;979814.29638;0.00000;-36.15746
35.40000;126.00000;979793.18670;0.00000;-15.12640
35.20000;126.00000;979754.44889;0.00000;-22.21933
35.00000;126.00000;979740.01608;0.00000;-2.07611
34.80000;126.00000;979733.22341;4.00000;5.75733
34.60000;126.00000;979715.21694;1.00000;-2.10683
34.40000;126.00000;979690.11413;0.00000;-15.17444
34.20000;126.00000;979676.24714;0.00000;-24.96459
34.00000;126.00000;979662.21659;0.00000;-87.65439
33.80000;126.00000;979649.00139;0.00000;-90.86575
33.60000;126.00000;979634.95554;0.00000;-104.01678
33.40000;126.00000;979620.99701;0.00000;-99.44284
33.20000;126.00000;979605.08808;0.00000;-109.33199
33.00000;126.00000;979582.32375;0.00000;-107.27966
32.80000;126.00000;979561.37186;0.00000;-98.51456
32.60000;126.00000;979538.83938;0.00000;-94.69011
32.40000;126.00000;979518.72078;0.00000;-90.58951
32.20000;126.00000;979499.84508;0.00000;-97.01253
32.00000;126.00000;979494.55499;0.00000;-85.80025
31.80000;126.00000;979479.23201;0.00000;-61.17036
31.60000;126.00000;979474.16565;0.00000;-71.66577
31.40000;126.00000;979456.19932;0.00000;-69.53365
31.20000;126.00000;979437.33592;0.00000;-77.09699
31.00000;126.00000;979418.62005;0.00000;-73.44943
30.80000;126.00000;979395.09160;0.00000;-63.99919
30.60000;126.00000;979379.01846;0.00000;-71.03002
30.40000;126.00000;979360.22474;0.00000;-79.56944
30.20000;126.00000;979343.47365;0.00000;-89.15465
30.00000;126.00000;979330.54405;0.00000;-88.94819
29.80000;126.00000;979318.18017;0.00000;-99.28429
29.60000;126.00000;979306.42750;0.00000;-100.46209
29.40000;126.00000;979291.46783;0.00000;-100.18534
29.20000;126.00000;979282.07288;0.00000;-99.18843
29.00000;126.00000;979269.02106;0.00000;-121.86118
28.80000;126.00000;979256.56626;0.00000;-124.57886
28.60000;126.00000;979235.70986;0.00000;-120.54058
28.40000;126.00000;979239.74522;0.00000;-111.10362
28.20000;126.00000;979223.97240;0.00000;-99.20158
28.00000;126.00000;979209.72899;0.00000;-134.09571
27.80000;126.00000;979206.73688;0.00000;-129.10030
27.60000;126.00000;979198.92315;0.00000;-135.61328
27.40000;126.00000;979189.59635;0.00000;-147.45699
27.20000;126.00000;979141.28892;0.00000;-673.96371
27.00000;126.00000;979126.84530;0.00000;-1095.58868
45.00000;126.20000;980578.31898;170.00000;184.03825
44.80000;126.20000;980558.54233;195.00000;196.32736
44.60000;126.20000;980549.12449;158.00000;155.34390
44.40000;126.20000;980496.60441;322.00000;330.18526
44.20000;126.20000;980492.11911;279.00000;331.21946
44.00000;126.20000;980482.11950;189.00000;194.32366
43.80000;126.20000;980438.61144;260.00000;252.73627
43.60000;126.20000;980401.55333;351.00000;369.55211
43.40000;126.20000;980392.98639;358.00000;405.31875
43.20000;126.20000;980283.17037;672.00000;474.49583
43.00000;126.20000;980353.09361;339.00000;385.74910
42.80000;126.20000;980327.39760;335.00000;311.93347
42.60000;126.20000;980312.99180;342.00000;371.55825
42.40000;126.20000;980293.34293;365.00000;410.58974
42.20000;126.20000;980251.29387;475.00000;547.78487
42.00000;126.20000;980169.10028;742.00000;760.68208
41.80000;126.20000;980190.21018;542.00000;483.67802
41.60000;126.20000;980135.70078;675.00000;636.01914
41.40000;126.20000;980012.02961;1135.00000;1085.94416
41.20000;126.20000;980141.89745;421.00000;357.18486
41.00000;126.20000;980156.27018;320.00000;346.25288
40.80000;126.20000;980100.00068;483.00000;562.01156
40.60000;126.20000;979948.25428;1146.00000;1245.44107
40.40000;126.20000;979937.10289;950.00000;820.14583
40.20000;126.20000;980055.18020;370.00000;339.21212
40.00000;126.20000;980084.89557;344.00000;494.44808
39.80000;126.20000;980082.66315;340.00000;370.51934
39.60000;126.20000;980073.17322;343.00000;346.13618
39.40000;126.20000;980082.60563;200.00000;118.61358
39.20000;126.20000;980077.78149;169.00000;107.32666
39.00000;126.20000;980064.64361;118.00000;124.08007
38.80000;126.20000;979920.51362;571.00000;433.97955
38.60000;126.20000;980025.93630;187.00000;261.55156
38.40000;126.20000;980005.96618;156.00000;144.17642
38.20000;126.20000;980006.58542;71.00000;63.98844
38.00000;126.20000;979991.02094;45.00000;40.84745
37.80000;126.20000;979977.98438;0.00000;-2.98560
37.60000;126.20000;979955.97880;0.00000;-11.17375
37.40000;126.20000;979931.77194;0.00000;-18.66552
37.20000;126.20000;979917.22050;0.00000;8.66602
37.00000;126.20000;979920.76252;0.00000;-25.50520
36.80000;126.20000;979889.81681;25.00000;27.34907
36.60000;126.20000;979883.00490;0.00000;-0.60273
36.40000;126.20000;979866.77079;0.00000;-17.27142
36.20000;126.20000;979853.13676;0.00000;-30.62622
36.00000;126.20000;979838.96217;0.00000;-35.21621
35.80000;126.20000;979830.50722;0.00000;-20.22634
35.60000;126.20000;979803.79754;0.00000;-24.02833
35.40000;126.20000;979771.03684;0.00000;-7.75513
35.20000;126.20000;979757.15683;0.00000;-16.75081
35.00000;126.20000;979740.47680;0.00000;17.06399
34.80000;126.20000;979727.32051;0.00000;-7.04366
34.60000;126.20000;979708.72324;0.00000;-20.02385
34.40000;126.20000;979685.73217;59.00000;48.23528
34.20000;126.20000;979683.97266;0.00000;-22.22915
34.00000;126.20000;979657.31694;0.00000;-41.36196
33.80000;126.20000;979645.24087;0.00000;-104.39488
33.60000;126.20000;979637.46188;0.00000;-103.62777
33.40000;126.20000;979628.53849;0.00000;-22.47862
33.20000;126.20000;979605.25045;0.00000;-29.57168
33.00000;126.20000;979580.15230;0.00000;-118.45971
32.80000;126.20000;979554.38790;0.00000;-111.18708
32.60000;126.20000;979533.05881;0.00000;-103.33708
32.40000;126.20000;979511.61796;0.00000;-117.87118
32.20000;126.20000;979513.40105;0.00000;-96.11653
32.00000;126.20000;979505.76891;0.00000;-79.63493
31.80000;126.20000;979486.25958;0.00000;-53.39075
31.60000;126.20000;979480.83453;0.00000;-47.47756
31.40000;126.20000;979446.09812;0.00000;-74.54775
31.20000;126.20000;979433.34691;0.00000;-90.93196
31.00000;126.20000;979414.66264;0.00000;-80.21357
30.80000;126.20000;979393.90870;0.00000;-74.71825
30.60000;126.20000;979374.31393;0.00000;-82.45170
30.40000;126.20000;979361.09939;0.00000;-86.16311
30.20000;126.20000;979347.61163;0.00000;-90.84241
30.00000;126.20000;979337.75554;0.00000;-72.75149
29.80000;126.20000;979324.47197;0.00000;-86.27585
29.60000;126.20000;979320.83885;0.00000;-95.98192
29.40000;126.20000;979300.78897;0.00000;-99.81745
29.20000;126.20000;979291.12405;0.00000;-97.60147
29.00000;126.20000;979274.72836;0.00000;-105.10856
28.80000;126.20000;979255.65200;0.00000;-104.46390
28.60000;126.20000;979256.90805;0.00000;-115.48424
28.40000;126.20000;979253.62348;0.00000;-107.43381
28.20000;126.20000;979231.91539;0.00000;-105.38344
28.00000;126.20000;979206.58581;0.00000;-134.69441
27.80000;126.20000;979212.37959;0.00000;-159.50910
27.60000;126.20000;979166.18242;0.00000;-915.20867
27.40000;126.20000;979149.22322;0.00000;-1140.20241
27.20000;126.20000;979148.11867;0.00000;-1134.10511
27.00000;126.20000;979129.87343;0.00000;-1512.73081
45.00000;126.40000;980576.99653;186.00000;190.76730
44.80000;126.40000;980557.82848;207.00000;205.17137
44.60000;126.40000;980546.94697;160.00000;167.36121
44.40000;126.40000;980526.12953;166.00000;166.26883
44.20000;126.40000;980499.64776;210.00000;213.94314
44.00000;126.40000;980475.69004;181.00000;168.47030
43.80000;126.40000;980445.87738;266.00000;341.48242
43.60000;126.40000;980410.54747;293.00000;271.53434
43.40000;126.40000;980332.53247;572.00000;513.76415
43.20000;126.40000;980350.27586;451.00000;467.93826
43.00000;126.40000;980341.41913;350.00000;350.13236
42.80000;126.40000;980335.66527;287.00000;293.03168
42.60000;126.40000;980232.58876;624.00000;435.50422
42.40000;126.40000;980271.67082;472.00000;542.42135
42.20000;126.40000;980181.13482;798.00000;890.95518
42.00000;126.40000;980202.61976;605.00000;715.25726
41.80000;126.40000;980109.43402;880.00000;733.13232
41.60000;126.40000;979968.55893;1316.00000;957.10443
41.40000;126.40000;980140.11845;550.00000;528.14195
41.20000;126.40000;980143.02589;460.00000;447.44424
